bovine_gene	bovine_id	human_gene_id	human_transcript_id	mouse_return_gene	human_half_life	mouse_half_life	human_te	mouse_te	human_RBH	mouse_RBH	confidence_tier
EDN1	P17322	ENSG00000078401	ENST00000379375	ENSMUSG00000021367	-11.6980419581004	-8.17891838575897	0.645605390872727	0.705138310119912	TRUE	TRUE	1
MLLT10	F1MLK4	ENSG00000078403	ENST00000307729	ENSMUSG00000026743	-3.88963912048821	-6.66426032879125	-1.08325458602941	-0.935504984312949	TRUE	TRUE	1
NRDC	A0A3Q1ME26	ENSG00000078618	ENST00000352171	ENSMUSG00000053510	7.27428896842396	6.74508150995903	0.263264154858974	0.181548415459806	TRUE	TRUE	1
VDAC3	Q9MZ13	ENSG00000078668	ENST00000022615	ENSMUSG00000008892	6.16037723072339	2.35081154660343	1.28820657008974	1.33855063331995	TRUE	TRUE	1
PCM1	E1BC93	ENSG00000078674	ENST00000325083	ENSMUSG00000031592	2.36509941938682	-0.94230622362908	-0.0114245612933333	0.404400592354062	TRUE	TRUE	1
TNRC6C	A0AAA9SXM1	ENSG00000078687	ENST00000696270	ENSMUSG00000025571	-6.46939415865873	-3.5740823903453	-0.725317209483871	-0.7503613728988	TRUE	TRUE	1
CBFA2T2	F1MJ18	ENSG00000078699	ENST00000342704	ENSMUSG00000038533	-5.77204682470199	-6.75199686968635	0.205454228608108	0.604701208715337	TRUE	TRUE	1
ITCH	A0A3Q1LR68	ENSG00000078747	ENST00000374864	ENSMUSG00000027598	-1.70864081773959	-1.03395980340939	0.104157432855263	0.206992002597082	TRUE	TRUE	1
TP53INP2	E1B8N8	ENSG00000078804	ENST00000374810	ENSMUSG00000038375	1.12674070414932	2.74147119246608	1.29808014009589	0.887438905024189	TRUE	TRUE	1
TOLLIP	Q2LGB5	ENSG00000078902	ENST00000317204	ENSMUSG00000025139	0.843300343878533	-2.13149093557181	0.721581419166667	0.941326782615117	TRUE	TRUE	1
UBE2D4	A0AAA9TS25	ENSG00000078967	ENST00000222402	ENSMUSG00000091896	3.95264726257374	-1.9100082607924	-0.404889128309859	0.980567168421419	TRUE	TRUE	1
RUNX1T1	A0A3Q1MDD5	ENSG00000079102	ENST00000523629	ENSMUSG00000006586	-8.0297053726478	-2.99051806285967	0.35126395083871	0.437139918350502	TRUE	TRUE	1
THOC1	F1MJV3	ENSG00000079134	ENST00000261600	ENSMUSG00000024287	-0.800257175498574	0.358942394890779	0.0812884384342105	0.0761174607853611	TRUE	TRUE	1
OSBPL6	A0A3Q1M7Q0	ENSG00000079156	ENST00000190611	ENSMUSG00000042359	-1.69149192840807	-1.4091771654318	-0.315720437349206	-0.29904642254641	TRUE	TRUE	1
SLC1A3	P46411	ENSG00000079215	ENST00000265113	ENSMUSG00000005360	2.02652424992217	2.44550059406556	0.697142883490909	0.92427801872416	TRUE	TRUE	1
XRCC5	A7MBA7	ENSG00000079246	ENST00000392132	ENSMUSG00000026187	6.37301869422137	5.28445289017271	1.31286836153846	0.424249280655406	TRUE	TRUE	1
LXN	F1N120	ENSG00000079257	ENST00000264265	ENSMUSG00000047557	2.46754249671117	3.9624480574514	0.83128529825	0.973228051388635	TRUE	TRUE	1
MKNK1	A0AAA9SGM8	ENSG00000079277	ENST00000371945	ENSMUSG00000028708	2.04753961859894	1.05976706414855	0.0731443032666667	0.131471406079054	TRUE	TRUE	1
REXO1	A0A3Q1ME34	ENSG00000079313	ENST00000170168	ENSMUSG00000047417	-0.683126790584357	-1.67825509610296	-1.1540313173913	-0.975107499787224	TRUE	TRUE	1
SAR1A	Q3T0D7	ENSG00000079332	ENST00000373241	ENSMUSG00000020088	2.50828960657094	0.936367710883096	1.50633605957692	1.25070915930125	TRUE	TRUE	1
CDC14A	G3MYT6	ENSG00000079335	ENST00000336454	ENSMUSG00000033502	-6.78333397085595	-5.82067062731544	-0.387042122870968	-0.473051873648076	TRUE	TRUE	1
SENP1	F1MG84	ENSG00000079387	ENST00000549518	ENSMUSG00000033075	-2.24154831185294	-1.88619970470396	-0.423945217388889	-0.269452506012514	TRUE	TRUE	1
CIC	G3MX46	ENSG00000079432	ENST00000681038	ENSMUSG00000005442	-2.20350295405365	-1.15723126015453	-1.09658582644286	-0.729829680827171	TRUE	TRUE	1
LIPE	A0A3Q1MLE6	ENSG00000079435	ENST00000244289	ENSMUSG00000003123	-3.36400291016327	-2.34269166976144	-0.193521992189655	0.00840442785607912	TRUE	TRUE	1
PAFAH1B3	A0AAF7ABT5	ENSG00000079462	ENST00000262890	ENSMUSG00000003131	8.90304131666895	-2.6740431764955	0.513016787853333	0.974459071001004	TRUE	TRUE	1
OPHN1	A0A3Q1N6J8	ENSG00000079482	ENST00000355520	ENSMUSG00000031214	-1.49564136758681	0.625021839658356	0.123055048196721	-0.372350790848767	TRUE	TRUE	1
CARMIL1	A0AAA9TV71	ENSG00000079691	ENST00000329474	ENSMUSG00000021338	-2.38748728284901	-1.01188339936617	-0.290066894861538	-0.336102853928473	TRUE	TRUE	1
PGM1	Q08DP0	ENSG00000079739	ENST00000371084	ENSMUSG00000025791	7.7590481762534	4.92098711581739	0.558530915649351	0.847959555354041	TRUE	TRUE	1
DDX1	Q0IIK5	ENSG00000079785	ENST00000233084	ENSMUSG00000037149	5.24179283126854	3.6955270479884	0.990376999948718	0.736992381073878	TRUE	TRUE	1
DNM2	A0ABI0NJP7	ENSG00000079805	ENST00000389253	ENSMUSG00000033335	5.90782981447189	2.66059191008286	0.396891444615385	0.518133132769569	TRUE	TRUE	1
EPB41L2	A0A3Q1LXH9	ENSG00000079819	ENST00000337057	ENSMUSG00000019978	7.09317259368858	4.22202501706955	0.402796236662162	0.595585609339958	TRUE	TRUE	1
KEAP1	A7MBG4	ENSG00000079999	ENST00000171111	ENSMUSG00000026705	-4.41984617948255	-0.472470737878525	0.0661270421038961	0.243889211401535	TRUE	TRUE	1
SLC35C2	A0A3Q1M589	ENSG00000080189	ENST00000372230	ENSMUSG00000017664	2.25445374959902	3.20108919049741	-0.607858735921053	-0.787245200317777	TRUE	TRUE	1
RFX3	A0A3Q1MCT7	ENSG00000080298	ENST00000617270	ENSMUSG00000040929	-1.30700499674796	-3.55104389366453	0.138814422985507	0.338851260657913	TRUE	TRUE	1
SLC4A4	A0ABI0P208	ENSG00000080493	ENST00000264485	ENSMUSG00000060961	-1.86260166809292	0.966229981651174	0.397707269214286	0.357684532464837	TRUE	TRUE	1
SMARCA2	A0A3Q1LRS4	ENSG00000080503	ENST00000349721	ENSMUSG00000024921	0.440820931726132	5.20473629501706	0.116555956289855	0.103315312716149	TRUE	TRUE	1
SESN1	A6QQS4	ENSG00000080546	ENST00000436639	ENSMUSG00000038332	-4.86042474419748	-3.76076672728211	0.0573932996388889	0.312800475084829	TRUE	TRUE	1
PUM3	A0AAA9S018	ENSG00000080608	ENST00000397885	ENSMUSG00000041360	-2.5212868116251	2.85705511372069	0.43985264006579	0.595807027034615	TRUE	TRUE	1
CNOT4	A0A3Q1N546	ENSG00000080802	ENST00000541284	ENSMUSG00000038784	-8.51391302375765	-6.14445901588391	0.250912291921053	0.244114216747635	TRUE	TRUE	1
PSEN1	A0AAF6ZSR9	ENSG00000080815	ENST00000324501	ENSMUSG00000019969	1.30311056306103	-0.417170381668683	0.536310856921053	0.556695018863009	TRUE	TRUE	1
CPOX	E1BKY9	ENSG00000080819	ENST00000647941	ENSMUSG00000022742	2.51327732399129	0.956282714375678	0.663996968407895	0.679432848570328	TRUE	TRUE	1
CLDND1	A0A3Q1N9J7	ENSG00000080822	ENST00000341181	ENSMUSG00000022744	0.910838613004138	3.32133454677881	0.476336391205128	0.550150582599442	TRUE	TRUE	1
MOK	A0AAA9TCI9	ENSG00000080823	ENST00000361847	ENSMUSG00000056458	6.89419758731246	0.116470242875969	-0.6924839656	-0.292133231968277	TRUE	TRUE	1
HSP90AA1	Q76LV2	ENSG00000080824	ENST00000216281	ENSMUSG00000021270	7.93972924872506	3.95236802089014	2.03390176889744	1.92591159166676	TRUE	TRUE	1
RBL1	E1BMR3	ENSG00000080839	ENST00000373664	ENSMUSG00000027641	-4.25692969615793	-1.98959544019422	-0.0364132191690141	0.140951177829409	TRUE	TRUE	1
DLGAP4	A0A3Q1NE17	ENSG00000080845	ENST00000339266	ENSMUSG00000061689	-1.04092343213727	-1.96580227509571	0.368913533266667	0.154466683518125	TRUE	TRUE	1
AP4E1	A0AAA9TL34	ENSG00000081014	ENST00000261842	ENSMUSG00000001998	-1.82154311014947	0.490076002745636	-0.326613851885714	-0.267390649485116	TRUE	TRUE	1
RSBN1	E1BBV1	ENSG00000081019	ENST00000261441	ENSMUSG00000044098	-9.70669629064238	-6.59397361291254	0.205687603222222	0.0883587304381115	TRUE	TRUE	1
MAGI3	E1BM96	ENSG00000081026	ENST00000307546	ENSMUSG00000052539	-4.67838284557917	-4.20402891270644	-0.468830185530303	-0.565283802189477	TRUE	TRUE	1
TCF7	A7MAZ8	ENSG00000081059	ENST00000342854	ENSMUSG00000000782	-0.757686602835223	0.848058663594134	-0.00474869261818182	0.489184715614739	TRUE	TRUE	1
OSTM1	Q0VCT5	ENSG00000081087	ENST00000193322	ENSMUSG00000038280	5.9028188903679	0.911188653626571	0.661279779	0.51047472391047	TRUE	TRUE	1
PCNP	A0ABI0NRL0	ENSG00000081154	ENST00000265260	ENSMUSG00000071533	7.89236564227217	0.962153734435257	1.07572789796154	0.834201533815776	TRUE	TRUE	1
EXD2	A0AAA9TA89	ENSG00000081177	ENST00000685843	ENSMUSG00000032705	0.508817035886959	1.82625840224934	0.102924071055556	-0.0893496590729574	TRUE	TRUE	1
ARG2	G3MWN1	ENSG00000081181	ENST00000261783	ENSMUSG00000021125	4.38512298109542	0.66854042894257	0.346781345661972	0.489146780888001	TRUE	TRUE	1
MEF2C	A0AAF7ADI2	ENSG00000081189	ENST00000504921	ENSMUSG00000005583	-3.59722383020296	-2.40378768854324	0.607964985	0.771284327644296	TRUE	TRUE	1
UBA5	A7MAZ3	ENSG00000081307	ENST00000356232	ENSMUSG00000032557	2.29945701570704	0.657300744162571	0.673849274710526	0.364831002105181	TRUE	TRUE	1
STK17B	F1MSI1	ENSG00000081320	ENST00000263955	ENSMUSG00000026094	-7.81481546422544	-7.37014820453754	0.477699943883117	0.699428749652981	TRUE	TRUE	1
CDC14B	A0AAA9S9L0	ENSG00000081377	ENST00000375241	ENSMUSG00000033102	1.2302233251428	-0.615184358889352	-1.37022840398214	-0.777328405002962	TRUE	TRUE	1
CADPS2	A0A3Q1ME52	ENSG00000081803	ENST00000449022	ENSMUSG00000017978	0.646406206918536	-0.565263675704308	-0.403001218654545	-0.501224905862408	TRUE	TRUE	1
IFT25	A0AAA9SSY3	ENSG00000081870	ENST00000194214	ENSMUSG00000063172	6.07045927343075	1.41083599610149	1.08835634711538	0.44874508045327	TRUE	TRUE	1
PHLPP1	A0A3Q1N224	ENSG00000081913	ENST00000262719	ENSMUSG00000044340	-7.15962599349901	-4.28460255660342	-0.329308225506849	-0.185229891092103	TRUE	TRUE	1
SMARCD3	Q0II51	ENSG00000082014	ENST00000262188	ENSMUSG00000023018	3.95695242209452	-1.56420250130635	-0.697832343566667	0.460357257391113	TRUE	TRUE	1
STRADB	F1MB87	ENSG00000082146	ENST00000194530	ENSMUSG00000026027	6.66561518341998	4.54541120988881	-1.1849417225	-0.870219058899217	TRUE	TRUE	1
BZW1	A0ABI0NRP2	ENSG00000082153	ENST00000409600	ENSMUSG00000051223	4.14897392266607	2.49054525300522	1.30495811946154	1.21293655098577	TRUE	TRUE	1
ME2	A0A3Q1MWG7	ENSG00000082212	ENST00000321341	ENSMUSG00000024556	4.4111173450929	4.40033696823542	0.494943408974026	0.256126810978516	TRUE	TRUE	1
CCNT2	E1B6Z5	ENSG00000082258	ENST00000264157	ENSMUSG00000026349	-6.27535809289472	-5.12174759060543	-0.368678120027778	-0.345745657932475	TRUE	TRUE	1
FAM135A	A0AAA9RX27	ENSG00000082269	ENST00000418814	ENSMUSG00000026153	-2.64989970656827	-0.0889511496356687	-1.13624712689655	-0.911534709409389	TRUE	TRUE	1
EPB41L3	E1B7S3	ENSG00000082397	ENST00000341928	ENSMUSG00000024044	2.3607445027144	3.80642923285302	0.312365780304348	0.377240247364782	TRUE	TRUE	1
COBLL1	A0A3Q1NNE9	ENSG00000082438	ENST00000652658	ENSMUSG00000034903	-0.807437952043886	-3.26971180546981	-0.23808862190625	0.535004298514882	TRUE	TRUE	1
DLG3	A0A3Q1LYJ6	ENSG00000082458	ENST00000374360	ENSMUSG00000000881	-1.7788292512619	-2.7388687680977	-0.065459293125	0.114875583115154	TRUE	TRUE	1
SERTAD4	A0AAA9SAE4	ENSG00000082497	ENST00000367012	ENSMUSG00000016262	-6.62484248536317	-8.68961319234604	0.0394244401568627	0.493652767224853	TRUE	TRUE	1
TRAF5	A0A3Q1MFU3	ENSG00000082512	ENST00000261464	ENSMUSG00000021277	-2.74345544555872	-1.44337016317968	-0.130593250626866	-1.31762689798014	TRUE	TRUE	1
GEMIN5	E1BJG3	ENSG00000082516	ENST00000285873	ENSMUSG00000037275	-2.74888351829051	0.60777211698355	0.350370711106667	0.238475644073249	TRUE	TRUE	1
NFE2L1	A0A3Q1LU39	ENSG00000082641	ENST00000362042	ENSMUSG00000038615	0.504700675424157	-1.36635900545135	0.442457386846154	0.392949447908301	TRUE	TRUE	1
GSK3B	A0AAA9T207	ENSG00000082701	ENST00000264235	ENSMUSG00000022812	-3.35290039967983	-3.95660604758534	0.405689380263158	0.786414041985041	TRUE	TRUE	1
ITGB5	Q8SQB9	ENSG00000082781	ENST00000296181	ENSMUSG00000022817	5.83685779754675	3.48173395189658	-0.241338374594203	-0.343282796453002	TRUE	TRUE	1
ERC1	A0A3Q1LTK7	ENSG00000082805	ENST00000360905	ENSMUSG00000030172	-3.57313131682049	-1.71611855252453	0.331001547986111	0.12376014473477	TRUE	TRUE	1
XPO1	E1BE98	ENSG00000082898	ENST00000401558	ENSMUSG00000020290	-0.0218027275059429	-0.0338900041435156	0.523598724589744	0.596831753926328	TRUE	TRUE	1
RNF13	Q0VD51	ENSG00000082996	ENST00000392894	ENSMUSG00000036503	0.619625500679715	4.64323282590351	0.295293782935065	0.353982540408883	TRUE	TRUE	1
PALB2	E1BL90	ENSG00000083093	ENST00000261584	ENSMUSG00000044702	-9.85699447090924	-4.15472008489256	-0.889724231242857	-0.711111825056346	TRUE	TRUE	1
BCKDHB	P21839	ENSG00000083123	ENST00000320393	ENSMUSG00000032263	5.59342945318892	7.0631024807915	0.610410890486842	0.408373751386193	TRUE	TRUE	1
KAT6A	E1BEB3	ENSG00000083168	ENST00000265713	ENSMUSG00000031540	-7.55891883718602	-4.02736133385837	-0.473694742361111	-0.49907737050919	TRUE	TRUE	1
TUT7	A0AAA9SIZ0	ENSG00000083223	ENST00000375963	ENSMUSG00000035248	-4.38616156976186	-1.8577905888045	-0.181389072277778	-0.335673873022948	TRUE	TRUE	1
ULK2	A0AAA9TVZ8	ENSG00000083290	ENST00000395544	ENSMUSG00000004798	0.240044045059012	1.15616444295955	-1.81824622254545	-1.31171204406448	TRUE	TRUE	1
TNPO1	Q3SYU7	ENSG00000083312	ENST00000337273	ENSMUSG00000009470	3.31816253052504	2.23514321865392	0.893983142525641	1.12354689121659	TRUE	TRUE	1
PLOD1	O77588	ENSG00000083444	ENST00000196061	ENSMUSG00000019055	8.29595450507054	7.97117514834377	0.655461799	0.846152400471278	TRUE	TRUE	1
ITGAE	E1BFX5	ENSG00000083457	ENST00000263087	ENSMUSG00000030830	7.57845637299714	4.06718812196797	-1.05159160472881	0.373142612194611	TRUE	TRUE	1
DIS3	F1N1R4	ENSG00000083520	ENST00000377767	ENSMUSG00000033166	-1.11508517490222	-0.373663462166982	0.497384113657895	0.186401201875416	TRUE	TRUE	1
PIBF1	A0A3Q1MK89	ENSG00000083535	ENST00000326291	ENSMUSG00000022064	-3.59385071582571	-1.2549502626226	0.117493810971831	0.0608156961618022	TRUE	TRUE	1
TDRD3	A0A3Q1M8A8	ENSG00000083544	ENST00000377881	ENSMUSG00000022019	-1.9083095047411	-0.765859793666518	-0.409502179985916	-0.0732219911992197	TRUE	TRUE	1
NUFIP1	E1BEZ5	ENSG00000083635	ENST00000379161	ENSMUSG00000022009	-5.34413100081281	-6.27302041765883	0.545206063094595	0.287195847649526	TRUE	TRUE	1
PDS5B	F1N7G8	ENSG00000083642	ENST00000315596	ENSMUSG00000034021	-2.7198044642759	0.630378462808416	0.273376034486486	0.380579554868446	TRUE	TRUE	1
OXCT1	Q24JZ7	ENSG00000083720	ENST00000196371	ENSMUSG00000022186	6.01558136811444	7.23888276576306	0.772118647454546	0.912705581946223	TRUE	TRUE	1
RRAGB	A0AAA9SNY4	ENSG00000083750	ENST00000374941	ENSMUSG00000041658	0.986359074771265	-2.39781566839842	-0.0508589729710145	0.479674467420209	TRUE	TRUE	1
CYLD	A0A3Q1LMF5	ENSG00000083799	ENST00000427738	ENSMUSG00000036712	0.0577710251184538	0.584336415430798	-0.513089246479452	-0.199879939348628	TRUE	TRUE	1
SLC27A5	A6QM10	ENSG00000083807	ENST00000263093	ENSMUSG00000027359	6.45134879866358	-0.45282748987873	-0.527296176777778	0.266493201717344	TRUE	TRUE	1
LOC100847773	A0A3Q1LY35	ENSG00000083812	ENST00000196482	ENSMUSG00000004500	-9.03230177239443	-5.57118184920261	-0.302214687863636	-0.43909067203296	TRUE	TRUE	1
ZNF416	E1BKR7	ENSG00000083817	ENST00000196489	ENSMUSG00000034538	-12.9683525411758	-7.38662695359309	-0.41937189259375	-0.103230656801553	TRUE	TRUE	1
ZNF805	F1N0P1	ENSG00000083844	ENST00000263095	ENSMUSG00000054967	-6.94077268515443	-6.12576751166538	0.270588666328571	-0.0928121165910832	TRUE	TRUE	1
CHMP2B	Q3SX42	ENSG00000083937	ENST00000263780	ENSMUSG00000004843	2.28549159494197	1.14379134759331	1.16177421963158	0.938938390077972	TRUE	TRUE	1
SMAP2	Q5EA00	ENSG00000084070	ENST00000372718	ENSMUSG00000032870	0.552905450816003	-1.01569595328831	0.507437480727273	0.407556345552378	TRUE	TRUE	1
ZMPSTE24	E1BMF2	ENSG00000084073	ENST00000372759	ENSMUSG00000043207	3.46408509785145	1.95821962841028	1.07521702998718	0.957968157171447	TRUE	TRUE	1
STARD7	A0A3Q1LZP9	ENSG00000084090	ENST00000337288	ENSMUSG00000027367	-0.527268849016216	-1.99308810003701	0.150628312012821	0.192067077402439	TRUE	TRUE	1
RESTB	E1BCT1	ENSG00000084093	ENST00000309042	ENSMUSG00000029249	-5.31578832384782	-3.65798675319693	0.3379638945	0.518499627972774	TRUE	TRUE	1
APLP2	A0A3Q1M9W8	ENSG00000084234	ENST00000338167	ENSMUSG00000031996	11.5611264980681	7.95375217728835	1.26664574726923	1.23723842964127	TRUE	TRUE	1
FAM234B	A0AAA9TTA4	ENSG00000084444	ENST00000197268	ENSMUSG00000030207	4.00824387760154	2.0745848075553	0.685976354569444	0.542729239086472	TRUE	TRUE	1
WBP11	E1BNM6	ENSG00000084463	ENST00000261167	ENSMUSG00000030216	1.31514836405666	-1.81891594420701	0.416173419051282	0.375144416482931	TRUE	TRUE	1
EIF3I	Q5E966	ENSG00000084623	ENST00000677711	ENSMUSG00000028086	8.96630718694598	-5.99975617050004	1.37238597182051	-0.71284139388478	TRUE	TRUE	1
COL16A1	A0AAA9SPK4	ENSG00000084636	ENST00000373672	ENSMUSG00000040690	3.1925300253685	5.21897392361768	-0.377795332410256	0.110500310121706	TRUE	TRUE	1
TXLNA	E1BGS4	ENSG00000084652	ENST00000373610	ENSMUSG00000053841	-3.65580887725714	-2.48411173404619	0.914490592474359	0.491372870254979	TRUE	TRUE	1
NCOA1	G3N0C2	ENSG00000084676	ENST00000348332	ENSMUSG00000020647	-2.22599451572776	-0.904240304289742	-0.644789611478873	-0.0677103007614801	TRUE	TRUE	1
AGBL5	Q58CX9	ENSG00000084693	ENST00000360131	ENSMUSG00000029165	7.85978508274552	2.59125876708878	-1.8580643895	-1.03607397746123	TRUE	TRUE	1
EFR3B	F1MPD4	ENSG00000084710	ENST00000403714	ENSMUSG00000020658	-0.527900665793385	3.15724898263189	0.2148023728	0.154492593185066	TRUE	TRUE	1
KIF3C	A0JN40	ENSG00000084731	ENST00000264712	ENSMUSG00000020668	-1.89547028407587	-2.81807105419687	-1.01647169478947	-0.54791066563408	TRUE	TRUE	1
RAB10	A6QLS9	ENSG00000084733	ENST00000264710	ENSMUSG00000020671	0.854076718493589	-0.459097397533227	1.22786199135897	1.07254190996247	TRUE	TRUE	1
HADHA	Q3SZ00	ENSG00000084754	ENST00000380649	ENSMUSG00000025745	7.89681008472717	6.96466225775919	0.816407926820513	0.898263293017786	TRUE	TRUE	1
MAPRE3	A0AAF6DLX7	ENSG00000084764	ENST00000233121	ENSMUSG00000029166	0.419437327127403	1.05224645438563	1.00590238341096	1.09216147363252	TRUE	TRUE	1
CAD	F1MVC0	ENSG00000084774	ENST00000264705	ENSMUSG00000013629	1.52346665220112	4.93149027765977	0.071717308554054	0.69053376079134	TRUE	TRUE	1
CD59	Q32PA1	ENSG00000085063	ENST00000642928	ENSMUSG00000032679	6.83147249726885	4.22778758178892	1.85846617703846	0.966268085574012	TRUE	TRUE	1
CD82	A0A3Q1LRA8	ENSG00000085117	ENST00000227155	ENSMUSG00000027215	4.94878590483667	6.44344199051049	1.32785708432468	1.02259716012244	TRUE	TRUE	1
BCORL1	F1MML3	ENSG00000085185	ENST00000540052	ENSMUSG00000036959	-5.79629458234632	-4.84249623144065	0.0549072005652174	0.0281184723454934	TRUE	TRUE	1
ATRX	F1MQ85	ENSG00000085224	ENST00000373344	ENSMUSG00000031229	-0.153789693247173	0.761240008984908	-0.0433650165945946	0.130390210069107	TRUE	TRUE	1
MYNN	A0AAA9U2S1	ENSG00000085274	ENST00000349841	ENSMUSG00000037730	-7.36311024560773	-5.91095885039902	-0.238591752136986	-0.0463394958847538	TRUE	TRUE	1
SCAMP1	A0ABI0NSP4	ENSG00000085365	ENST00000621999	ENSMUSG00000021687	0.54042636496859	2.11951099231739	0.978241923513158	0.902120417670969	TRUE	TRUE	1
PREP	A5D7C6	ENSG00000085377	ENST00000652536	ENSMUSG00000019849	3.04047063827213	2.15997772217811	0.8025948235	1.18128330609844	TRUE	TRUE	1
HACE1	F1N6G5	ENSG00000085382	ENST00000262903	ENSMUSG00000038822	0.493647886762502	-0.0395897553024031	-0.841459409567164	-0.740075350363438	TRUE	TRUE	1
SEH1L	A0AAA9TDS7	ENSG00000085415	ENST00000399892	ENSMUSG00000079614	1.57126403340382	-0.623140099315013	0.776666920474359	0.688614088951167	TRUE	TRUE	1
WDR47	A0AAA9TQT5	ENSG00000085433	ENST00000369962	ENSMUSG00000040389	-5.972703834807	-3.08425963657662	0.00957072342465754	0.196345046826481	TRUE	TRUE	1
SLC25A24	A5PJZ1	ENSG00000085491	ENST00000565488	ENSMUSG00000040322	4.08714371082325	1.20757825583404	0.751645993263158	0.700935226284922	TRUE	TRUE	1
MAP3K4	A0AAA9SKK8	ENSG00000085511	ENST00000392142	ENSMUSG00000014426	-3.47784709306187	-1.12777665674303	-0.753052479357143	-0.3767039594834	TRUE	TRUE	1
ABCB1	A0A3Q1MAB2	ENSG00000085563	ENST00000622132	ENSMUSG00000040584	3.28165840691505	-3.32627374011109	0.395043480317073	-0.0872024074864366	TRUE	TRUE	1
ZNF213	A0AAA9T469	ENSG00000085644	ENST00000396878	ENSMUSG00000071256	-2.12139790094479	-6.50864840775941	-0.508973364382353	-0.519364910217433	TRUE	TRUE	1
AKR1B1	A0A493UA87	ENSG00000085662	ENST00000285930	ENSMUSG00000001642	11.5720352451486	6.88614693818598	1.07913861938667	1.25559534165741	TRUE	TRUE	1
CPNE3	A5PJY9	ENSG00000085719	ENST00000517490	ENSMUSG00000028228	6.65685906270011	2.40181121525046	1.06410828924359	1.21558580978531	TRUE	TRUE	1
CTTN	Q1RMR3	ENSG00000085733	ENST00000301843	ENSMUSG00000031078	5.50853049706897	4.14307991958293	0.669429277081081	0.74545758150935	TRUE	TRUE	1
MTIF2	A0AAF6Z1J5	ENSG00000085760	ENST00000263629	ENSMUSG00000026083	2.38846315477152	2.85343033573877	-0.620087627027397	0.587535305593589	TRUE	TRUE	1
DDHD2	A0ABI0NLR3	ENSG00000085788	ENST00000397166	ENSMUSG00000061313	4.37845408398627	-0.291738838896242	-0.677169023814286	-0.0298573768531697	TRUE	TRUE	1
TTC39A	F1MNU0	ENSG00000085831	ENST00000680483	ENSMUSG00000028555	2.09907988927746	0.984515205815882	-0.33061885115	-0.187212312300686	TRUE	TRUE	1
EPS15	A5D7I1	ENSG00000085832	ENST00000371733	ENSMUSG00000028552	1.40380897476235	2.37958939154332	0.0295878498441558	0.17081818831786	TRUE	TRUE	1
ORC1	Q58DC8	ENSG00000085840	ENST00000371568	ENSMUSG00000017499	-1.80211996831255	-6.97814355051724	-0.0993053934153846	0.583836192179336	TRUE	TRUE	1
CHERP	A8E648	ENSG00000085872	ENST00000546361	ENSMUSG00000052488	-2.95452894869763	-0.65011984402887	0.797433699973684	0.766023546249378	TRUE	TRUE	1
ATG16L1	A0A3Q1M3D1	ENSG00000085978	ENST00000392017	ENSMUSG00000026289	-5.31425489631451	-5.30228983469234	0.0169606570675676	-0.132877262705607	TRUE	TRUE	1
POMGNT1	A0ABI0NWE4	ENSG00000085998	ENST00000371984	ENSMUSG00000028700	8.81011306899239	1.60186677425094	-1.13310808564865	-1.29546047627842	TRUE	TRUE	1
RAD54L	F6QH37	ENSG00000085999	ENST00000371975	ENSMUSG00000078773	0.35230324500922	0.877406085750718	-0.685394983968254	-0.320082139531924	TRUE	TRUE	1
MAST2	A0A3Q1MIM9	ENSG00000086015	ENST00000361297	ENSMUSG00000003810	-1.59789415584226	0.54764404415813	-1.3858067597971	-1.37537356400607	TRUE	TRUE	1
DNAJA1	Q5E954	ENSG00000086061	ENST00000330899	ENSMUSG00000028410	0.221840054432405	-0.364978414524966	1.36545322630769	1.31091074679628	TRUE	TRUE	1
B4GALT1	P08037	ENSG00000086062	ENST00000379731	ENSMUSG00000028413	-0.412200298521859	-2.12991350896978	0.956031089311689	0.693067143586965	TRUE	TRUE	1
CHMP5	F1MZV2	ENSG00000086065	ENST00000223500	ENSMUSG00000028419	5.13547916675913	5.55727741077696	1.17196872591026	1.02737009701241	TRUE	TRUE	1
NFX1	A6QLA0	ENSG00000086102	ENST00000379540	ENSMUSG00000028423	-5.88487885839642	-3.98098834155182	-0.192485924186667	0.0135230323295078	TRUE	TRUE	1
DIMT1	Q2KHT8	ENSG00000086189	ENST00000199320	ENSMUSG00000021692	0.210307199340695	-3.53855804216686	0.511516982842105	0.589381291634839	TRUE	TRUE	1
IPO11	E1BEW3	ENSG00000086200	ENST00000325324	ENSMUSG00000042590	1.12490802913621	1.05043198897452	0.442766203974026	0.455297703254136	TRUE	TRUE	1
EIF2AK1	F1MWN0	ENSG00000086232	ENST00000199389	ENSMUSG00000029613	7.08878725176371	0.0941898264137541	0.18566495512987	0.0993619911009806	TRUE	TRUE	1
EPDR1	A0AAA9TDZ5	ENSG00000086289	ENST00000199448	ENSMUSG00000002808	1.09261477920067	4.37932929196227	0.844258560222222	0.77081904330919	TRUE	TRUE	1
SNX10	Q0IIL5	ENSG00000086300	ENST00000338523	ENSMUSG00000038301	2.7438864438103	2.54825009740267	0.751655175014085	0.956397706294191	TRUE	TRUE	1
SEPHS1	Q0VC82	ENSG00000086475	ENST00000327347	ENSMUSG00000026662	3.5822220515741	-0.733260569497077	-0.0909087852597403	0.410950331914238	TRUE	TRUE	1
